Id,Fen,Moves,Rating,RatingDeviation
0Psb8,2k4r/pp1q3p/5p1Q/4p3/3pB3/5P1r/PPPB4/4R1RK w - - 5 28,h6h3 d7h3,600,97
0PukX,k1Q1r1r1/pp4P1/4p2B/2RpP3/3p4/3q4/5PP1/2R3K1 b - - 3 38,e8c8 c5c8 g8c8 c1c8,600,113
0RfL9,r3rQ1k/1p4pp/1p5q/pP5P/P3pR2/6P1/1n4B1/5RK1 b - - 1 34,e8f8 f4f8 a8f8 f1f8,600,94
0RkkV,3r2k1/R4p1p/6p1/3q4/5P2/6Pb/P4Q1P/2R3K1 w - - 1 32,a2a4 d5d1 c1d1 d8d1 f2e1 d1e1,600,90
0S9rP,7k/p5p1/5r1p/2p5/1p1r4/8/PPB3PP/3NR1K1 b - - 1 29,a7a5 e1e8 f6f8 e8f8,600,116
0SOZh,3r2k1/4R1B1/p6p/1p6/8/2P5/b1P2PPP/6K1 w - - 1 33,g7h6 d8d1 e7e1 d1e1,600,108
0SrJM,1r6/4kpp1/2n4p/3pP3/1p1P1PPP/8/N3K3/1R6 w - - 3 29,b1b3 c6d4 e2d1 d4b3,600,112
0SsoY,2k5/2p3pp/2P2p2/p3p3/2r5/b4N2/5PPP/R5K1 w - - 0 26,a1a3 c4c1 f3e1 c1e1,600,94
0TsJP,6k1/p5p1/3r3p/1b2N3/8/8/P4PPP/1R4K1 w - - 0 29,b1b5 d6d1,600,112
0UFNP,r3k1nr/1pp1qppp/p1n5/8/1bBPp3/1Q2P3/PP1B1PPP/RN2K2R w KQkq - 4 13,c4f7 e7f7 b3f7 e8f7,600,89
0Ubr0,3r2k1/pp4b1/7p/4p3/8/2P2rpb/PP2R1P1/RB4K1 w - - 0 29,g2f3 d8d1 e2e1 d1e1,600,108
0UjCM,6k1/5ppp/2r4b/pp1p4/N3p3/7P/4KPP1/1R6 b - - 1 40,b5a4 b1b8 c6c8 b8c8,600,110
0UkkF,R7/5kp1/p2r2pp/1p2n3/8/P7/1P3PPP/4R1K1 w - - 3 32,e1e5 d6d1 e5e1 d1e1,600,105
0UmjF,r1bqk2r/2p1bpp1/p1p2n1p/8/2B1R3/8/PPP1QPPP/RNB3K1 w kq - 5 13,c4f7 e8f7 e4e7 d8e7 e2e7 f7e7,600,85
0VJ0n,4q2k/3n2np/r7/ppp1Q3/4P3/P2P4/1PP2RPP/5RK1 b - - 0 22,d7e5 f2f8 e8f8 f1f8,600,97
0VJow,8/8/4r1k1/3R1p2/6p1/4K1P1/7P/8 w - - 6 58,e3f4 e6e4,600,100
0VWGE,7k/pp4rp/4pQ2/5P2/3p1p2/P2P3P/1PP2q1K/6R1 w - - 4 36,g1g2 f2g2,600,105
0VauN,2rr2k1/p4ppp/1p1Rp1b1/4P3/1P6/P3P3/1B4PP/3R2K1 b - - 2 23,g6h5 d6d8 c8d8 d1d8,600,98
0VdGe,4r3/2p4Q/p1b5/1pk1rBp1/5pP1/8/PPP2P1P/3R2K1 w - - 3 31,h7c7 e5e1 d1e1 e8e1,600,100
0W1iN,4r1k1/4qppn/7p/8/8/2B2Q2/5PPP/5RK1 w - - 1 27,f1e1 e7e1 c3e1 e8e1,600,94
0WLS4,r3k2r/p1Rp1pbp/3Pp1p1/4P3/2bN4/7P/P4PP1/2R3K1 b kq - 6 24,c4a2 c7c8 a8c8 c1c8,600,105
0WV8u,3r4/5R2/4P1kp/2p2p2/1p6/4nR2/1bP3PP/7K w - - 0 36,f3e3 d8d1 e3e1 d1e1,600,94
0XA6S,1k2r3/pp3ppp/2p2n2/5Q2/N1Pq4/1P3B2/P4PPP/R5K1 w - - 2 20,a1d1 d4d1 f3d1 e8e1,600,83
0XFYj,1k1r4/1pp5/p4R1P/2P5/6B1/1b6/1P3P2/2K5 w - - 0 34,f6f3 d8d1,600,118
0XLJs,7k/2p3pp/2rp4/4r3/8/5PKP/P5P1/1R6 b - - 5 35,c6c4 b1b8 e5e8 b8e8,600,98
0XlFc,8/3n3p/5N2/4p3/1p2P3/8/k1K2PPP/8 w - - 0 46,f6d7 b4b3 c2d2 b3b2,600,110
0XuZR,b5k1/p2r1pp1/2p4p/8/1P2P3/4R3/R5PP/7K w - - 1 32,e4e5 d7d1 e3e1 d1e1,600,91
0Y2Co,r2q1k1r/p3nppp/1p1Q4/8/8/2N5/PP1B1PPP/4R1K1 w - - 0 23,d6e7 d8e7 e1e7 f8e7,600,84
0Y9A6,3r2k1/5ppp/5q2/8/1R1r4/4Q1P1/4RPBP/6K1 b - - 0 28,d4b4 e3e8 d8e8 e2e8,600,91
0YNT8,2r3k1/p3R1p1/4p2p/1P6/P7/8/5PPP/6K1 w - - 1 34,e7e6 c8c1 e6e1 c1e1,600,99
0YOUs,4r1k1/2p4p/1p1p1bp1/1P1P1p2/p1Pp4/P2P1BQ1/5PPP/1R2q1K1 w - - 2 27,b1e1 e8e1,600,107
0YkIg,4r1k1/p1p1qp1p/1p1p1bp1/3P4/1PP2B2/P7/2Q2PPP/3R2K1 w - - 2 23,f4g3 e7e1 d1e1 e8e1,600,103
0Yxiw,4r1k1/pp3ppp/2p5/8/8/6P1/PP2NPKP/3R4 b - - 0 25,e8e2 d1d8 e2e8 d8e8,600,99
0Yxzx,4r1k1/p4pp1/5n1p/1P6/P7/3N1Q2/6PP/2q4K w - - 0 32,d3c1 e8e1 f3f1 e1f1,600,96
0Z5e5,5qk1/2p2r2/2B4p/1pbP1Qp1/8/P7/1P5p/5R1K w - - 0 36,f5f7 f8f7 f1f7 g8f7,600,95
0ZjRW,6k1/p4pp1/7p/3Pq3/3B3N/2N3Pb/P1r2P1P/4R1K1 w - - 0 29,e1e5 c2c1 c3d1 c1d1 e5e1 d1e1,600,93
